Songs,Artists,singer,lyrics,music
NAZAR LAG JAYEGI,"Kamal Raja,Millind Gaba",MilindGaba & KamalRaja,"Ikrar,MillindGaba",MusicMG
Bholeynath ,"Millind Gaba, Ikka, Pallavi Gaba ","MillindGaba,Ikka,PallaviGaba",Ikka,MillindGaba
Dil Dooba,"Aishwarya Rai, Akshaye Kumar","SonuNigam,ShreyaGhoshal",Sameer,RamSampat
Laal Dupatta,Mika Singh and Anupama Raag,MikaSingh&AnupamaRaag,AnupamaRaag,AnupamaRaag
Deedar De,Abhishek Bacchan,"SunidhiChauhan,Krishna",PanchhiJalonvi,"VishalDadlani,ShekharRavjiani"
Tere Naam Video Song,Zack Knight,ZackKnight,ZackKnight,ZackKnight
Meri Baari Song,Millind Gaba ,MillindGaba,MillindGaba,MusicMG
Ek Jindari Full Video Song,Hindi Medium,"SugandhaDate,KarishmaButia,StiphenGhorpade,PrateekMane,AryaMahale,AnicaChabra.",Kumaar,Sachin
Pitah Se Naam Hai Tera,Akshay Kumar,"SONUNIGAM,MEETBROSANJJAN,ALAPS",KUMAAR,MEETBROSANJJAN
Hoor Video Song,Hindi Medium,"DawnCordo,ArunKamath,ShambhaviSingh.",PriyaSaraiya,Sachin
Kaise Mujhe Tum Video Song,Mohammed Irfan,MohammedIrfan,PrasoonJoshi,A.R.Rahman
Kisko Pata Video Song,Yash Wadali,YashWadali,RamanKumarJangwal,YashWadali
Hoor Song (Full Video),Hindi Medium,"DawnCordo,ArunKamath,ShambhaviSingh.",PriyaSaraiya,Sachin
Ek Jindari Video Song,Hindi Medium,"SugandhaDate,KarishmaButia,StiphenGhorpade,PrateekMane,AryaMahale,AnicaChabra.",Kumaar,Sachin
Sye Raa Title Video Song (Hindi),Chiranjeevi,"RajivSundaresan,ArunKamath,SuhasSawant,RishikeshKamerkar,DeeptiRege,PragatiJoshi,ArohiMhatre&,AditiPrabhudesai",SwanandKirkire,AmitTrivedi
Pinky Zanjeer  Movie Song (Hindi),"Priyanka Chopra, Ram Charan,",MamtaSharmaandMeetBrosAnjjan,"ShabbirAhmed,AshrafAli.",MeetBrosAnjjan
Dil Dola Re - Remix  Video Song,Angry Indian Goddesses,PRATICHEEMOHAPATRA,DR.SWAPNILSALKAR,ASHISHPRABHUAJGAONKAR
Tere Naam Lyrical  Video Song,Zack Knight,ZackKnight,ZackKnight,ZackKnight
Ho Jaye Balle Balle,Ravinder Bhinder,RavinderBhinder,RavinderBhinder,SherAzad
Des Mera,Indian Ocean,IndianOcean,"SanjeevSharma,SwanandKirkire",IndianOcean
Bandeya (Full Video Song) Mir,Zenif,Mir,Zenif,Zenif
